,title,url,authors,abstract,conference,citation,year,search_field
26,Cultural Norms and Interpersonal Relationships: Comparing Disclosure Behaviors on Twitter,https://dl.acm.org/doi/10.1145/3406865.3418341,"Anju Punuru,Tyng-Wen Cheng,Isha Ghosh,Xinru Page,Mainack Mondal"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",CSCW '20 Companion: Companion Publication of the 2020 Conference on Computer Supported Cooperative Work and Social Computing,2,2020,Abstract
27,Opportunities via extended networks for teens' informal learning,https://dl.acm.org/doi/10.1145/2441776.2441927,"Peyina Lin,Shelly D. Farnham"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",CSCW '13: Proceedings of the 2013 conference on Computer supported cooperative work,4,2013,Abstract
28,Using social media for nurturing civic entrepreneurial spirit and motivation among the students,https://dl.acm.org/doi/10.1145/3014087.3014092,"Oksana Pavlova,Anastasia Prichislenko,Philip Kazin,Steven Hagen"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",EGOSE '16: Proceedings of the International Conference on Electronic Governance and Open Society: Challenges in Eurasia,0,2016,Abstract
29,Cascade-based Echo Chamber Detection,https://dl.acm.org/doi/10.1145/3511808.3557253,"Marco Minici,Federico Cinus,Corrado Monti,Francesco Bonchi,Giuseppe Manco"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",CIKM '22: Proceedings of the 31st ACM International Conference on Information & Knowledge Management,5,2022,Abstract
30,The network in the garden: an empirical analysis of social media in rural life,https://dl.acm.org/doi/10.1145/1357054.1357304,"Eric Gilbert,Karrie Karahalios,Christian Sandvig"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",CHI '08: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,87,2008,Abstract
31,CoStream: co-construction of shared experiences through mobile live video sharing,https://dl.acm.org/doi/10.5555/2578048.2578057,"Niloofar Dezuli,Jochen Huber,Elizabeth F. Churchill,Max Mühlhäuser"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",BCS-HCI '13: Proceedings of the 27th International BCS Human Computer Interaction Conference,4,2013,Abstract
32,Adversarial-Enhanced Hybrid Graph Network for User Identity Linkage,https://dl.acm.org/doi/10.1145/3404835.3462946,"Xiaolin Chen,Xuemeng Song,Guozhen Peng,Shanshan Feng,Liqiang Nie"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",SIGIR '21: Proceedings of the 44th International ACM SIGIR Conference on Research and Development in Information Retrieval,15,2021,Abstract
33,On Social Contagion in Gamification: The Power of Influencers in a Location-Based Gameful System,https://dl.acm.org/doi/10.1145/3474670,"Enrica Loria,Lennart E. Nacke,Annapaola Marconi"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.","Proceedings of the ACM on Human-Computer Interaction (PACMHCI), Volume 5, Issue CHI PLAY",1,No.:,Abstract
34,Super Dots: making social media tangible for senior citizens,https://dl.acm.org/doi/10.1145/2347504.2347575,"Maria Foverskov,Thomas Binder"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",DPPI '11: Proceedings of the 2011 Conference on Designing Pleasurable Products and Interfaces,4,2011,Abstract
35,Culturally-Grounded Analysis of Everyday Creativity in Social Media: A Case Study in Qatari Context,https://dl.acm.org/doi/10.1145/3059454.3059456,"D. Fox Harrell,Sarah Vieweg,Haewoon Kwak,Chong-U Lim,Sercan Sengun,Ali Jahanian,Pablo Ortiz"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",C&C '17: Proceedings of the 2017 ACM SIGCHI Conference on Creativity and Cognition,4,2017,Abstract
36,"All My People Right Here, Right Now: management of group co-presence on a social networking site",https://dl.acm.org/doi/10.1145/1531674.1531717,"Airi Lampinen,Sakari Tamminen,Antti Oulasvirta"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",GROUP '09: Proceedings of the 2009 ACM International Conference on Supporting Group Work,93,2009,Abstract
37,Computational Approaches Toward Integrating Quantified Self Sensing and Social Media,https://dl.acm.org/doi/10.1145/2998181.2998219,"Munmun De Choudhury,Mrinal Kumar,Ingmar Weber"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",CSCW '17: Proceedings of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing,12,2017,Abstract
38,Together we learn better: leveraging communities of practice for MOOC learners,https://dl.acm.org/doi/10.1145/3429360.3468176,"Dilrukshi Gamage,Mark E Whitting"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",Asian CHI '21: Proceedings of the Asian CHI Symposium 2021,1,2021,Abstract
39,Social Influence Based Clustering and Optimization over Heterogeneous Information Networks,https://dl.acm.org/doi/10.1145/2717314,"Yang Zhou,Ling Liu"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.","ACM Transactions on Knowledge Discovery from Data (TKDD), Volume 10, Issue 1",26,No.:,Abstract
40,Online sexual harassment over anonymous social media in Bangladesh,https://dl.acm.org/doi/10.1145/3287098.3287107,"Fayika Farhat Nova,MD. Rashidujjaman Rifat,Pratyasha Saha,Syed Ishtiaque Ahmed,Shion Guha"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",ICTD '19: Proceedings of the Tenth International Conference on Information and Communication Technologies and Development,64,2019,Abstract
41,Identifying implicit relationships between social media users to support social commerce,https://dl.acm.org/doi/10.1145/2346536.2346544,"Christopher C. Yang,Haodong Yang,Xuning Tang,Ling Jiang"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",ICEC '12: Proceedings of the 14th Annual International Conference on Electronic Commerce,8,2012,Abstract
42,Practices of balancing privacy and publicness in social network services,https://dl.acm.org/doi/10.1145/1880071.1880142,Airi Lampinen," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",GROUP '10: Proceedings of the 2010 ACM International Conference on Supporting Group Work,1,2010,Abstract
43,Detecting and Characterizing Mental Health Related Self-Disclosure in Social Media,https://dl.acm.org/doi/10.1145/2702613.2732733,"Sairam Balani,Munmun De Choudhury"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",CHI EA '15: Proceedings of the 33rd Annual ACM Conference Extended Abstracts on Human Factors in Computing Systems,89,2015,Abstract
44,A Method for Discovering Dynamic Network Motifs by Encoding Topic Propagation,https://dl.acm.org/doi/10.1109/WI-IAT.2013.64,"Vladimir Barash,Natasa Milic-Frayling,Marc A. Smith"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",WI-IAT '13: Proceedings of the 2013 IEEE/WIC/ACM International Joint Conferences on Web Intelligence (WI) and Intelligent Agent Technologies (IAT) - Volume 01,1,2013,Abstract
45,What can social media benefit student teachers in?,https://dl.acm.org/doi/10.1145/3290511.3290579,Shih-Hsiung Liu," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",ICETC '18: Proceedings of the 10th International Conference on Education Technology and Computers,0,2018,Abstract
46,Support Social Connectedness through Technology-mediated Shared Activities,https://dl.acm.org/doi/10.1145/3462204.3481801,Ye Yuan," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",CSCW '21 Companion: Companion Publication of the 2021 Conference on Computer Supported Cooperative Work and Social Computing,0,2021,Abstract
47,The Paradox of Social Media Security: Users' Perceptions versus Behaviors,https://dl.acm.org/doi/10.1145/2978178.2978187,"Zahra Alqubaiti,Lei Li,Jing He"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",RIIT '16: Proceedings of the 5th Annual Conference on Research in Information Technology,1,2016,Abstract
48,UIS-LDA: a user recommendation based on social connections and interests of users in uni-directional social networks,https://dl.acm.org/doi/10.1145/3106426.3106494,"Ke Xu,Yi Cai,Huaqing Min,Xushen Zheng,Haoran Xie,Tak-Lam Wong"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",WI '17: Proceedings of the International Conference on Web Intelligence,4,2017,Abstract
